id;codice_comune;foglio;particella;subalterno;superficie_di_riferimento_mq;natura_del_bene;indirizzo;numero_civico;latitudine;longitudine;tipologia_bene_immobile;epoca_costruzione;vincolo_culturale_paesaggistico;natura_giuridica_del_bene;utilizzo_del_bene;finalita;tipo_detenzione_a_terzi;canone_annuale;data_decorrenza;numero_immobili_per_catasto;id_list;meta_immobile;lista_file_ape;classe_energetica_ape;epglnren_ape;classe_target_ape;list_file_ape_filtered;coordinate_ds_coerenti;list_file_ape_validated;fonte_coordinate_usata;list_file_ape_validated_norm;plot_filename;id_left;zona_omi
690630;L219;1089;306;156;48.0;FABBRICATO;Via Vittime di Bologna;15;45.1018356;7.7289107;Abitazione;Dal 1971 al 1980;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;1;;False;['2022_312661_0041.xml'];E;90.76;D;['2022_312661_0041.xml'];True;['2022_312661_0041.xml'];originali;('2022_312661_0041.xml',);ape_summary_fd6e8dab1642.html;690630;D15
690632;L219;1089;306;158;48.0;FABBRICATO;Via Vittime di Bologna;15;45.1018356;7.7289107;Abitazione;Dal 1971 al 1980;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;1;;False;['2022_312661_0042.xml'];E;90.91;D;['2022_312661_0042.xml'];True;['2022_312661_0042.xml'];originali;('2022_312661_0042.xml',);ape_summary_04d4ed13b218.html;690632;D15
690638;L219;1089;306;163;48.0;FABBRICATO;Via Vittime di Bologna;15;45.1018356;7.7289107;Abitazione;Dal 1971 al 1980;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;1;;False;['2022_312661_0043.xml'];E;90.48;D;['2022_312661_0043.xml'];True;['2022_312661_0043.xml'];originali;('2022_312661_0043.xml',);ape_summary_f2ca2d5a3391.html;690638;D15
690640;L219;1089;306;165;48.0;FABBRICATO;Via Vittime di Bologna;15;45.1018356;7.7289107;Abitazione;Dal 1971 al 1980;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;1;;False;['2022_312661_0084.xml'];F;205.31;E;['2022_312661_0084.xml'];True;['2022_312661_0084.xml'];originali;('2022_312661_0084.xml',);ape_summary_56453372ea68.html;690640;D15
690643;L219;1089;306;168;48.0;FABBRICATO;Via Vittime di Bologna;15;45.1018356;7.7289107;Abitazione;Dal 1971 al 1980;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;1;;False;['2022_312661_0044.xml'];F;167.49;E;['2022_312661_0044.xml'];True;['2022_312661_0044.xml'];originali;('2022_312661_0044.xml',);ape_summary_3a7c54f27205.html;690643;D15
690660;L219;1089;306;34;48.0;FABBRICATO;via vittime di bologna;7;45.1018356;7.7289107;Abitazione;Dal 1971 al 1980;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;1;;False;['2021_312661_0030.xml'];E;154.74;E;['2021_312661_0030.xml'];True;['2021_312661_0030.xml'];originali;('2021_312661_0030.xml',);ape_summary_668bebdd948d.html;690660;D15
690663;L219;1089;306;37;48.0;FABBRICATO;via vittime di bologna;7;45.1018356;7.7289107;Abitazione;Dal 1971 al 1980;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;1;;False;['2022_312661_0125.xml'];E;159.38;E;['2022_312661_0125.xml'];True;['2022_312661_0125.xml'];originali;('2022_312661_0125.xml',);ape_summary_819c0699ea17.html;690663;D15
690684;L219;1089;306;57;48.0;FABBRICATO;via vittime di bologna;7;45.1018356;7.7289107;Abitazione;Dal 1971 al 1980;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;1;;False;['2022_312661_0010.xml'];F;153.17;E;['2022_312661_0010.xml'];True;['2022_312661_0010.xml'];originali;('2022_312661_0010.xml',);ape_summary_82fc50f149b4.html;690684;D15
690686;L219;1089;306;61;48.0;FABBRICATO;Via Vittime di Bologna;13;45.1018356;7.7289107;Abitazione;Dal 1971 al 1980;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;1;;False;['2022_312661_0031.xml'];F;194.6;E;['2022_312661_0031.xml'];True;['2022_312661_0031.xml'];originali;('2022_312661_0031.xml',);ape_summary_519594cf5c67.html;690686;D15
690691;L219;1089;306;66;48.0;FABBRICATO;via vittime di bologna;9;45.1018356;7.7289107;Abitazione;Dal 1971 al 1980;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;1;;False;['2020_312661_0139.xml'];E;104.35;C;['2020_312661_0139.xml'];True;['2020_312661_0139.xml'];originali;('2020_312661_0139.xml',);ape_summary_95592cf83dc5.html;690691;D15
690694;L219;1089;306;69;48.0;FABBRICATO;via vittime di bologna;9;45.1018356;7.7289107;Abitazione;Dal 1971 al 1980;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;1;;False;['2022_312661_0032.xml'];D;84.1;C;['2022_312661_0032.xml'];True;['2022_312661_0032.xml'];originali;('2022_312661_0032.xml',);ape_summary_25aa266ef18e.html;690694;D15
690698;L219;1089;306;72;48.0;FABBRICATO;via vittime di bologna;9;45.1018356;7.7289107;Abitazione;Dal 1971 al 1980;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;1;;False;['2022_312661_0033.xml'];D;84.75;C;['2022_312661_0033.xml'];True;['2022_312661_0033.xml'];originali;('2022_312661_0033.xml',);ape_summary_b2e757489ec2.html;690698;D15
690703;L219;1089;306;77;48.0;FABBRICATO;via vittime di bologna;9;45.1018356;7.7289107;Abitazione;Dal 1971 al 1980;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;1;;False;['2020_312661_0026.xml'];E;84.96;D;['2020_312661_0026.xml'];True;['2020_312661_0026.xml'];originali;('2020_312661_0026.xml',);ape_summary_0946b839c0f8.html;690703;D15
690709;L219;1089;306;82;48.0;FABBRICATO;via vittime di bologna;9;45.1018356;7.7289107;Abitazione;Dal 1971 al 1980;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;1;;False;['2020_312661_0027.xml'];F;162.0;E;['2020_312661_0027.xml'];True;['2020_312661_0027.xml'];originali;('2020_312661_0027.xml',);ape_summary_3565bd975bfd.html;690709;D15
690718;L219;1089;306;91;48.0;FABBRICATO;via vittime di bologna;11;45.1018356;7.7289107;Abitazione;Dal 1971 al 1980;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;1;;False;['2022_312661_0034.xml'];E;159.98;E;['2022_312661_0034.xml'];True;['2022_312661_0034.xml'];originali;('2022_312661_0034.xml',);ape_summary_c0865d4bd53d.html;690718;D15
690723;L219;1089;306;96;48.0;FABBRICATO;via vittime di bologna;11;45.1018356;7.7289107;Abitazione;Dal 1971 al 1980;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;1;;False;['2022_312661_0035.xml'];D;85.12;C;['2022_312661_0035.xml'];True;['2022_312661_0035.xml'];originali;('2022_312661_0035.xml',);ape_summary_077351a1a04c.html;690723;D15
690830;L219;1186;151;12;80.0;FABBRICATO;via ternengo;48;45.08753959;7.69666841;Abitazione;Dal 1991 al 2000;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;1;;False;['2020_312661_0119.xml'];F;181.3;F;['2020_312661_0119.xml'];True;['2020_312661_0119.xml'];originali;('2020_312661_0119.xml',);ape_summary_f6eba60760f3.html;690830;D20
691462;L219;1212;90;15;75.0;FABBRICATO;Via Carlo Michele Buscalioni;15;45.0774956;7.700681;Abitazione;Dal 1919 al 1945;Nessuno;Patrimonio indisponibile;;Non Dichiarato;in locazione;3298.0;01/09/2021;1;;False;['2020_102099_0165.xml'];F;197.25;C;['2020_102099_0165.xml'];True;['2020_102099_0165.xml'];originali;('2020_102099_0165.xml',);ape_summary_63211942aed1.html;691462;C18
691464;L219;1212;90;17;102.0;FABBRICATO;Via Carlo Michele Buscalioni;15;45.0774956;7.700681;Abitazione;Dal 1919 al 1945;Nessuno;Patrimonio indisponibile;;Non Dichiarato;in locazione;3226.0;01/08/2021;1;;False;['2020_102099_0164.xml'];F;230.4;E;['2020_102099_0164.xml'];True;['2020_102099_0164.xml'];originali;('2020_102099_0164.xml',);ape_summary_7b3babd845b7.html;691464;C18
691576;L219;1111;87;24;97.0;FABBRICATO;corso lombardia;121;45.09852565;7.64843227;Abitazione;Dal 1946 al 1960;Nessuno;Patrimonio indisponibile;;Non Dichiarato;in locazione;2672.0;01/12/2022;1;;False;['2021_106141_0029.xml'];G;211.07;F;['2021_106141_0029.xml'];;['2021_106141_0029.xml'];originali;('2021_106141_0029.xml',);ape_summary_75fa07293c1c.html;691576;D23
