file,unita,indirizzo,data_emissione,classe,epglnren,epglren,co2,superficie,vettore,serv_risc,serv_acs,serv_raf,serv_vent,serv_illu,serv_trasp,destinazione_uso_cod,oggetto_attestato_cod,tipologia_edilizia_cod,piano,codice_catastale,sezione,foglio,particella,subA,subDA,subalterno,anno_costruzione,lat,lon,coordinate_str,comune,zona_climatica,intervento_desc,intervento_classe_target,intervento_payback,qualita_invernale,qualita_estiva,fonti_rinnovabili,imp_risc_anno,imp_risc_desc,imp_risc_tipo,imp_risc_epnren,imp_acs_anno,imp_acs_desc,imp_acs_tipo,imp_acs_epnren,imp_raf_anno,imp_raf_desc,imp_raf_tipo,imp_raf_epnren,consumo_kwh_tot,tipologia_edilizia_str,ape_class_score,ape_system_score,ape_envelope_score,ape_renewables_score,ape_total_points,ape_score,kwh_per_sqm,energy_score,estimated_cost_year,cost_per_sqm_year
2021_213914_0077.xml,34,CORSO TARANTO 157,2021-09-20,E,119.93,1.34,24.19,78.84,Gas naturale,False,False,False,False,False,False,0.0,1.0,3.0,3.0,L219,,1133.0,15.0,34.0,34.0,,1970.0,45.0667,7.6667,"45.0667, 7.6667",TORINO,E,				Isolamento strutture opache verticali verso l'esterno,D,17.0,Triste,Triste,No,2016.0,,Caldaia a condensazione,83.25,2010.0,,Caldaia standard,36.68,,,,,9258.3408,Ed. Plurifam.,2,2,1,2,7,1,117.43202435312024,70.0,2314.5852,29.35800608828006
2021_312661_0030.xml,34,Via Vittime di Bologna 7,2021-06-21,E,154.74,11.56,31.4,45.98,Gas naturale,True,True,False,False,False,False,0.0,1.0,3.0,0.0,L219,,1089.0,306.0,34.0,34.0,,1985.0,45.1012,7.7291,"45.1012, 7.7291",Torino,E,realizzazione cappotto,E,8.1,Triste,Triste,Sì,2003.0,,Caldaia a condensazione,129.39,2003.0,,Caldaia a condensazione,25.35,,,,,6912.44,Ed. Plurifam.,2,2,1,5,10,2,150.33579817311875,55.0,1728.11,37.58394954327969
2022_206865_0002.xml,34,via Fossata 68,2022-04-05,F,189.97,1.18,35.79,41.0,Gas naturale,True,True,False,False,False,False,0.0,1.0,3.0,4.0,L219,NCEU,1128.0,423.0,34.0,34.0,,1960.0,45.0661111111111,7.68222222222222,"45.0661111111111, 7.68222222222222",TORINO,E,insufflaggio della muratura a cassa vuota,E,14.0,Triste,Triste,No,2010.0,PRINCIPALE,Caldaia a condensazione,163.45,2018.0,ACS autonomo,Scalda-acqua a gas,26.52,,,,,7707.099999999999,Ed. Plurifam.,1,2,1,2,6,1,187.9780487804878,36.0,1926.7749999999999,46.99451219512195
2021_105783_0022.xml,341,Corso Traiano 141,2022-04-22,B,89.73,14.08,17.3,59.56,Teleriscaldamento,True,True,False,False,False,False,0.0,1.0,3.0,,L219,,1443.0,646.0,341.0,341.0,,2021.0,45.021,7.6537,"45.0210, 7.6537",Torino,E,Sostituzione dei serramenti con tipologia a triplo vetro,B,99.0,Triste,Basita/o,Sì,2011.0,,Teleriscaldamento,76.36,2011.0,,Teleriscaldamento,13.37,,,,,6587.0,Ed. Plurifam.,4,2,1,5,12,3,110.59435862995298,73.0,1646.75,27.648589657488245
2021_208347_0307.xml,343,VIA VEROLEGNO 29,2021-09-04,D,76.41,0.23,14.37,50.4,Gas naturale,True,True,False,False,False,False,0.0,1.0,6.0,4.0,L219,0,52.0,6.0,343.0,343.0,,2005.0,45.0661111111111,7.68222222222222,"45.0661111111111, 7.68222222222222",TORINO,E,ISOLAMENTO MURI PERIMETRALI,B,10.0,Triste,Triste,No,2005.0,PRINCIPALE,Caldaia standard,49.83,2005.0,PRINCIPALE,Caldaia standard,26.58,,,,,3826.08,N/D,3,2,1,2,8,1,75.91428571428571,85.0,956.52,18.978571428571428
2022_203082_0052.xml,347,Corso Corsica 15,2022-11-22,F,138.62,0.42,27.79,92.0,Gas naturale,True,True,False,False,False,False,0.0,1.0,3.0,3.0,L219,,1423.0,236.0,347.0,347.0,,1968.0,45.1167,7.7167,"45.1167, 7.7167",Torino,E,0Intervento sulle strutture opachefalse8.1E120.191Intervento sui serramentifalse6.9D85.63C68.05,E,8.1,Triste,Triste,No,1998.0,ALFA LAVAL M 10 M,Caldaia standard,114.15,1998.0,Ariston XK,Caldaia standard,24.47,,,,,12695.86,Ed. Plurifam.,1,2,1,2,6,1,137.99847826086958,61.0,3173.965,34.499619565217394
2019_104581_0010.xml,35,viale dei Mughetti 29 bis,2019-11-15,G,406.37,0.56,6.35,51.58,Teleriscaldamento,True,True,False,False,False,False,0.0,1.0,9.0,,L219,,1069.0,150.0,35.0,35.0,,1964.0,45.1032,7.6258,"45.1032, 7.6258",TORINO,E,Sul sito http://acs.enea.it/ sono indicate le detrazioni fiscali per il risparmio energetico del patrimonio edilizio esistente attualmente vigenti,G,2.0,Triste,Triste,No,2011.0,,Teleriscaldamento,375.74,2018.0,,Scalda-acqua a gas,30.63,,,,,21943.94,App. Condominio,1,2,1,2,6,1,425.4350523458705,0.0,5485.985,106.35876308646762
2019_202533_0045.xml,35,VIA DE CANAL 29,2020-08-01,F,190.62,14.79,40.33,49.3,,False,False,False,False,False,False,0.0,1.0,0.0,3.0,L219,,1426.0,358.0,35.0,35.0,,1960.0,45.0667,7.6667,"45.0667, 7.6667",TORINO,E,"				COIBENTAZIONE PARETI PERIMETRALI (VANO SCALA, SOTTO",F,8.0,Triste,Triste,No,1998.0,,Teleriscaldamento,114.27,2005.0,,Caldaia standard,76.35,,,,,,N/D,1,2,1,2,6,1,,,,
2019_312661_0202.xml,35,Via Maddalene 6,2019-08-11,G,306.88,2.39,61.73,47.36,Gas naturale,True,True,False,False,False,False,0.0,1.0,3.0,5.0,L219,,1145.0,43.0,35.0,35.0,,1970.0,45.0905,7.7067,"45.0905, 7.7067",Torino,E,Installazione valvole termostatiche,G,5.34,Triste,Basita/o,No,2006.0,,Caldaia a condensazione,197.46,2005.0,,Caldaia standard,109.42,,,,,13640.12,Ed. Plurifam.,1,2,1,2,6,1,288.0092905405406,5.0,3410.03,72.00232263513514
2020_102099_0010.xml,35,Via Pianezza snc,2020-10-06,F,123.92,0.99,48.55,53.76,Teleriscaldamento,False,False,False,False,False,False,0.0,1.0,3.0,1.0,L219,,1121.0,41.0,35.0,35.0,,1980.0,45.095476,7.645642,"45.095476, 7.645642",TORINO,E,Insufflaggio pareti esterne,E,5.0,Triste,Triste,No,2015.0,Teleriscaldamento,Teleriscaldamento,96.46,2000.0,Scalda-acqua autonomo istantaneo a gas,Scalda-acqua a gas,27.46,,,,,6324.06,Ed. Plurifam.,1,5,1,2,9,2,117.63504464285715,70.0,1581.015,29.40876116071429
