id;superficie_di_riferimento_mq;natura_del_bene;indirizzo;numero_civico;latitudine;longitudine;tipologia_bene_immobile;epoca_costruzione;vincolo_culturale_paesaggistico;natura_giuridica_del_bene;utilizzo_del_bene;finalita;tipo_detenzione_a_terzi;canone_annuale;data_decorrenza;numero_immobili_per_catasto;meta_immobile;list_file_ape_validated;plot_filename;classe_energetica_ape;epglnren_ape
688203;23.0;FABBRICATO;via piossasco;14;45.0873011;7.680145;Cantina, soffitta, rimessa, box, garage, posto auto aperto/scoperto,;Prima del 1919;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;1;False;[];;;
688204;56.0;FABBRICATO;via piossasco;14;45.0873011;7.680145;Abitazione;Prima del 1919;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;1;False;[];;;
688205;58.0;FABBRICATO;via piossasco;14;45.0873011;7.680145;Abitazione;Prima del 1919;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;1;False;[];;;
688207;93.0;FABBRICATO;Via Antonio Cecchi;63;45.0886382;7.6787802;Abitazione;Dal 2001 al 2010;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;1;False;[];;;
688208;90.0;FABBRICATO;Via Antonio Cecchi;63;45.0886382;7.6787802;Abitazione;Dal 2001 al 2010;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;1;False;[];;;
688209;93.0;FABBRICATO;Via Antonio Cecchi;63;45.0886382;7.6787802;Abitazione;Dal 2001 al 2010;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;1;False;[];;;
688210;90.0;FABBRICATO;Via Antonio Cecchi;63;45.0886382;7.6787802;Abitazione;Dal 2001 al 2010;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;1;False;[];;;
688211;110.0;FABBRICATO;Via Antonio Cecchi;63;45.0886382;7.6787802;Abitazione;Dal 2001 al 2010;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;1;False;[];;;
688212;92.0;FABBRICATO;Via Antonio Cecchi;63;45.0886382;7.6787802;Abitazione;Dal 2001 al 2010;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;1;False;[];;;
688213;89.0;FABBRICATO;Via Antonio Cecchi;63;45.0886382;7.6787802;Abitazione;Dal 2001 al 2010;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;1;False;[];;;
688214;93.0;FABBRICATO;Via Antonio Cecchi;63;45.0886382;7.6787802;Abitazione;Dal 2001 al 2010;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;1;False;[];;;
688215;90.0;FABBRICATO;Via Antonio Cecchi;63;45.0886382;7.6787802;Abitazione;Dal 2001 al 2010;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;1;False;[];;;
688216;93.0;FABBRICATO;Via Antonio Cecchi;63;45.0886382;7.6787802;Abitazione;Dal 2001 al 2010;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;1;False;[];;;
688217;90.0;FABBRICATO;Via Antonio Cecchi;63;45.0886382;7.6787802;Abitazione;Dal 2001 al 2010;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;1;False;[];;;
688218;93.0;FABBRICATO;Via Antonio Cecchi;63;45.0886382;7.6787802;Abitazione;Dal 2001 al 2010;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;1;False;[];;;
688219;90.0;FABBRICATO;Via Antonio Cecchi;63;45.0886382;7.6787802;Abitazione;Dal 2001 al 2010;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;1;False;[];;;
688220;16.0;FABBRICATO;Strada Altessano;130;45.1105548;7.6470138;Cantina, soffitta, rimessa, box, garage, posto auto aperto/scoperto,;Dal 2001 al 2010;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;1;False;[];;;
688221;16.0;FABBRICATO;Strada Altessano;130;45.1105548;7.6470138;Cantina, soffitta, rimessa, box, garage, posto auto aperto/scoperto,;Dal 2001 al 2010;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;1;False;[];;;
688222;17.0;FABBRICATO;Strada Altessano;130;45.1105548;7.6470138;Cantina, soffitta, rimessa, box, garage, posto auto aperto/scoperto,;Dal 2001 al 2010;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;1;False;[];;;
688223;121.0;FABBRICATO;Strada Altessano;130;45.1105548;7.6470138;Abitazione;Dal 2001 al 2010;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;1;False;[];;;
688224;105.0;FABBRICATO;via pinerolo;51 18;45.0889495;7.6822221;Abitazione;Dal 1919 al 1945;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;1;False;[];;;
688229;93.0;FABBRICATO;Via delle Primule;28;45.1015754;7.6254584;Abitazione;Dal 1946 al 1960;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;1;False;[];;;
688230;110.0;FABBRICATO;Via delle Primule;30;45.1015754;7.6254584;Abitazione;Dal 1946 al 1960;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;1;False;[];;;
688231;110.0;FABBRICATO;Via delle Primule;30;45.1015754;7.6254584;Abitazione;Dal 1946 al 1960;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;1;False;[];;;
688232;110.0;FABBRICATO;Via delle Primule;30;45.1015754;7.6254584;Abitazione;Dal 1946 al 1960;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;1;False;[];;;
688233;99.0;FABBRICATO;Via delle Primule;32;45.1015754;7.6254584;Abitazione;Dal 1946 al 1960;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;1;False;[];;;
688234;101.0;FABBRICATO;Via delle Primule;32;45.1015754;7.6254584;Abitazione;Dal 1946 al 1960;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;1;False;[];;;
688235;106.0;FABBRICATO;Via delle Primule;32;45.1015754;7.6254584;Abitazione;Dal 1946 al 1960;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;1;False;[];;;
688236;100.0;FABBRICATO;Via delle Primule;32;45.1015754;7.6254584;Abitazione;Dal 1946 al 1960;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;1;False;[];;;
688237;101.0;FABBRICATO;Via delle Primule;32;45.1015754;7.6254584;Abitazione;Dal 1946 al 1960;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;1;False;[];;;
688238;95.0;FABBRICATO;Via delle Primule;34;45.1016687;7.6254469;Abitazione;Dal 1946 al 1960;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;1;False;[];;;
688239;117.0;FABBRICATO;Via delle Primule;34;45.101945;7.6254104;Abitazione;Dal 1946 al 1960;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;1;False;[];;;
688240;103.0;FABBRICATO;Via delle Primule;34;45.1016687;7.6254469;Abitazione;Dal 1946 al 1960;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;1;False;[];;;
688241;103.0;FABBRICATO;Via delle Primule;34;45.1016687;7.6254469;Abitazione;Dal 1946 al 1960;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;1;False;[];;;
688242;104.0;FABBRICATO;Via delle Primule;34;45.1016687;7.6254469;Abitazione;Dal 1946 al 1960;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;1;False;[];;;
688243;103.0;FABBRICATO;Via delle Primule;34;45.101945;7.6254104;Abitazione;Dal 1946 al 1960;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;1;False;[];;;
688244;109.0;FABBRICATO;Via delle Primule;28;45.1015754;7.6254584;Abitazione;Dal 1946 al 1960;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;1;False;[];;;
688245;101.0;FABBRICATO;Via delle Primule;32;45.1015754;7.6254584;Abitazione;Dal 1946 al 1960;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;1;False;[];;;
688246;107.0;FABBRICATO;Via delle Primule;28;45.1015754;7.6254584;Abitazione;Dal 1946 al 1960;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;1;False;[];;;
688247;111.0;FABBRICATO;Via delle Primule;28;45.1015754;7.6254584;Abitazione;Dal 1946 al 1960;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;1;False;[];;;
688248;105.0;FABBRICATO;Via delle Primule;28;45.1016687;7.6254469;Abitazione;Dal 1946 al 1960;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;1;False;[];;;
688249;111.0;FABBRICATO;Via delle Primule;28;45.1016687;7.6254469;Abitazione;Dal 1946 al 1960;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;1;False;[];;;
688250;108.0;FABBRICATO;Via delle Primule;30;45.1015754;7.6254584;Abitazione;Dal 1946 al 1960;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;1;False;[];;;
688251;87.0;FABBRICATO;Via delle Primule;30;45.1015754;7.6254584;Abitazione;Dal 1946 al 1960;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;1;False;[];;;
688252;110.0;FABBRICATO;Via delle Primule;30;45.1015754;7.6254584;Abitazione;Dal 1946 al 1960;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;1;False;[];;;
688256;87.0;FABBRICATO;Corso Appio Claudio;106;45.0876144;7.6375482;Abitazione;Dal 1946 al 1960;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Alloggio di servizio, foresterie;;;;1;False;[];;;
688258;5112.75;FABBRICATO;Via delle Magnolie;5;45.101221;7.6339661;Edificio scolastico (es.: scuola di ogni ordine e grado, università, scuola di formazione);Dal 1971 al 1980;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Servizi ordine pubblico, sicurezza nazionale e militare;;;;1;False;[];;;
688259;152.0;FABBRICATO;Via delle Magnolie;5;45.101221;7.6339661;Abitazione;Dal 1971 al 1980;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Servizi ordine pubblico, sicurezza nazionale e militare;;;;1;False;[];;;
688260;4762.5;FABBRICATO;Via delle Magnolie;9;45.1011868;7.6330653;Edificio scolastico (es.: scuola di ogni ordine e grado, università, scuola di formazione);Dal 1971 al 1980;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Attività didattica;;;;1;False;[];;;
688261;63.0;FABBRICATO;Via delle Magnolie;9;45.1011868;7.6330653;Abitazione;Dal 1971 al 1980;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Alloggio di servizio, foresterie;;;;1;False;[];;;
688263;28.0;FABBRICATO;via pilo rosalino;50;45.0779791;7.6460453;Cantina, soffitta, rimessa, box, garage, posto auto aperto/scoperto,;Prima del 1919;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Servizi assistenza socio-sanitaria (non residenziali);;;;1;False;[];;;
688264;45.0;FABBRICATO;via pilo rosalino;50;45.0779791;7.6460453;Abitazione;Prima del 1919;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Servizi assistenza socio-sanitaria (non residenziali);;;;1;False;[];;;
688265;143.0;FABBRICATO;via pilo rosalino;50;45.0779791;7.6460453;Abitazione;Prima del 1919;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Servizi assistenza socio-sanitaria (non residenziali);;;;1;False;[];;;
688266;103.0;FABBRICATO;via pilo rosalino;50;45.0779791;7.6460453;Abitazione;Prima del 1919;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Servizi assistenza socio-sanitaria (non residenziali);;;;1;False;[];;;
688267;97.0;FABBRICATO;via pilo rosalino;50;45.0779791;7.6460453;Abitazione;Prima del 1919;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Servizi assistenza socio-sanitaria (non residenziali);;;;1;False;[];;;
688268;1342.5;FABBRICATO;via sansovino andrea;111;45.1034426;7.6420466;Edificio scolastico (es.: scuola di ogni ordine e grado, università, scuola di formazione);Dal 1946 al 1960;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Attività didattica;;;;1;False;[];;;
688269;60.0;FABBRICATO;via sansovino andrea;111;45.1034426;7.6420466;Abitazione;Dal 1946 al 1960;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Alloggio di servizio, foresterie;;;;1;False;[];;;
688270;5096.5;FABBRICATO;Via Luigi Ambrosini;1;45.1036729;7.6427263;Edificio scolastico (es.: scuola di ogni ordine e grado, università, scuola di formazione);Dal 1961 al 1970;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Attività didattica;;;;1;False;[];;;
688271;74.0;FABBRICATO;Via Luigi Ambrosini;1;45.1036729;7.6427263;Abitazione;Dal 1961 al 1970;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Alloggio di servizio, foresterie;;;;1;False;[];;;
688272;7333.75;FABBRICATO;via zumaglia;41;45.080271;7.6432956;Edificio scolastico (es.: scuola di ogni ordine e grado, università, scuola di formazione);Dal 1991 al 2000;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Attività didattica;;;;1;False;[];;;
688273;94.0;FABBRICATO;Via Nicola Fabrizi;81;45.080271;7.6432956;Abitazione;Dal 1981 al 1990;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Alloggio di servizio, foresterie;;;;1;False;[];;;
688274;104.0;FABBRICATO;Via Domodossola;52;45.080271;7.6432956;Abitazione;Dal 1981 al 1990;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Alloggio di servizio, foresterie;;;;1;False;[];;;
688275;15.0;FABBRICATO;via fabrizi nicola;55;45.0803877;7.6476397;Cantina, soffitta, rimessa, box, garage, posto auto aperto/scoperto,;Dal 1919 al 1945;Nessuno;Patrimonio disponibile;Utilizzato direttamente;Altro;;;;1;False;[];;;
688276;13.0;FABBRICATO;via fabrizi nicola;55;45.0803877;7.6476397;Cantina, soffitta, rimessa, box, garage, posto auto aperto/scoperto,;Dal 1919 al 1945;Nessuno;Patrimonio disponibile;Utilizzato direttamente;Altro;;;;1;False;[];;;
688277;13.0;FABBRICATO;via fabrizi nicola;55;45.0803877;7.6476397;Cantina, soffitta, rimessa, box, garage, posto auto aperto/scoperto,;Dal 1919 al 1945;Nessuno;Patrimonio disponibile;Utilizzato direttamente;Altro;;;;1;False;[];;;
688278;13.0;FABBRICATO;via fabrizi nicola;55;45.0803877;7.6476397;Cantina, soffitta, rimessa, box, garage, posto auto aperto/scoperto,;Dal 1919 al 1945;Nessuno;Patrimonio disponibile;Utilizzato direttamente;Altro;;;;1;False;[];;;
688279;13.0;FABBRICATO;via fabrizi nicola;55;45.0803877;7.6476397;Cantina, soffitta, rimessa, box, garage, posto auto aperto/scoperto,;Dal 1919 al 1945;Nessuno;Patrimonio disponibile;Utilizzato direttamente;Altro;;;;1;False;[];;;
688280;16.0;FABBRICATO;via fabrizi nicola;55;45.0803877;7.6476397;Cantina, soffitta, rimessa, box, garage, posto auto aperto/scoperto,;Dal 1919 al 1945;Nessuno;Patrimonio disponibile;Utilizzato direttamente;Altro;;;;1;False;[];;;
688281;20.0;FABBRICATO;via fabrizi nicola;55;45.0803877;7.6476397;Cantina, soffitta, rimessa, box, garage, posto auto aperto/scoperto,;Dal 1919 al 1945;Nessuno;Patrimonio disponibile;Utilizzato direttamente;Altro;;;;1;False;[];;;
688282;14.0;FABBRICATO;via fabrizi nicola;55;45.0803877;7.6476397;Cantina, soffitta, rimessa, box, garage, posto auto aperto/scoperto,;Dal 1919 al 1945;Nessuno;Patrimonio disponibile;Utilizzato direttamente;Altro;;;;1;False;[];;;
688283;12.0;FABBRICATO;via fabrizi nicola;55;45.0803877;7.6476397;Cantina, soffitta, rimessa, box, garage, posto auto aperto/scoperto,;Dal 1919 al 1945;Nessuno;Patrimonio disponibile;Utilizzato direttamente;Altro;;;;1;False;[];;;
688284;12.0;FABBRICATO;via fabrizi nicola;55;45.0803877;7.6476397;Cantina, soffitta, rimessa, box, garage, posto auto aperto/scoperto,;Dal 1919 al 1945;Nessuno;Patrimonio disponibile;Utilizzato direttamente;Altro;;;;1;False;[];;;
688285;12.0;FABBRICATO;via fabrizi nicola;55;45.0803877;7.6476397;Cantina, soffitta, rimessa, box, garage, posto auto aperto/scoperto,;Dal 1919 al 1945;Nessuno;Patrimonio disponibile;Utilizzato direttamente;Altro;;;;1;False;[];;;
688286;25.0;FABBRICATO;via fabrizi nicola;55;45.0803877;7.6476397;Cantina, soffitta, rimessa, box, garage, posto auto aperto/scoperto,;Dal 1919 al 1945;Nessuno;Patrimonio disponibile;Utilizzato direttamente;Altro;;;;1;False;[];;;
688287;18.0;FABBRICATO;via fabrizi nicola;55;45.0803877;7.6476397;Cantina, soffitta, rimessa, box, garage, posto auto aperto/scoperto,;Dal 1919 al 1945;Nessuno;Patrimonio disponibile;Utilizzato direttamente;Altro;;;;1;False;[];;;
688288;19.0;FABBRICATO;via fabrizi nicola;55;45.0803877;7.6476397;Cantina, soffitta, rimessa, box, garage, posto auto aperto/scoperto,;Dal 1919 al 1945;Nessuno;Patrimonio disponibile;Utilizzato direttamente;Altro;;;;1;False;[];;;
688289;60.0;FABBRICATO;via sansovino andrea;90 39;45.1019524;7.6422426;Abitazione;Dal 1946 al 1960;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;1;False;[];;;
688291;61.0;FABBRICATO;via sansovino andrea;90 28;45.1016765;7.6424735;Abitazione;Dal 1946 al 1960;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;1;False;[];;;
688292;49.0;FABBRICATO;via sansovino andrea;90 30;45.1016765;7.6424735;Abitazione;Dal 1946 al 1960;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;1;False;[];;;
688293;51.0;FABBRICATO;via sansovino andrea;90 30;45.1016765;7.6424735;Abitazione;Dal 1946 al 1960;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;1;False;[];;;
688294;50.0;FABBRICATO;via sansovino andrea;90 30;45.1016765;7.6424735;Abitazione;Dal 1946 al 1960;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;1;False;[];;;
688295;50.0;FABBRICATO;via sansovino andrea;90 32;45.1016765;7.6424735;Abitazione;Dal 1946 al 1960;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;1;False;[];;;
688296;57.0;FABBRICATO;via sansovino andrea;90 32;45.1016765;7.6424735;Abitazione;Dal 1946 al 1960;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;1;False;[];;;
688297;53.0;FABBRICATO;via sansovino andrea;90 33;45.1016765;7.6424735;Abitazione;Dal 1946 al 1960;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;1;False;[];;;
688298;54.0;FABBRICATO;via sansovino andrea;90 33;45.1016765;7.6424735;Abitazione;Dal 1946 al 1960;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;1;False;[];;;
688299;60.0;FABBRICATO;Via Andrea Sansovino;90;45.1016765;7.6424735;Abitazione;Dal 1946 al 1960;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;1;False;[];;;
688300;55.0;FABBRICATO;via sansovino andrea;90 36;45.1016765;7.6424735;Abitazione;Dal 1946 al 1960;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;1;False;[];;;
688301;56.0;FABBRICATO;via sansovino andrea;90 36;45.1016765;7.6424735;Abitazione;Dal 1946 al 1960;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;1;False;[];;;
688302;54.0;FABBRICATO;via sansovino andrea;90 27;45.1016765;7.6424735;Abitazione;Dal 1946 al 1960;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;1;False;[];;;
688303;50.0;FABBRICATO;via sansovino andrea;90 28;45.1016765;7.6424735;Abitazione;Dal 1946 al 1960;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;1;False;[];;;
688310;227.0;FABBRICATO;via lessona michele;1;45.0828797;7.6506684;Locale commerciale, negozio;Dal 1919 al 1945;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Attività commerciale e di ristorazione;;;;1;False;[];;;
688311;57.0;FABBRICATO;corso svizzera;61;45.0818097;7.6505845;Locale commerciale, negozio;Dal 1946 al 1960;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;1;False;[];;;
688312;39.0;FABBRICATO;corso svizzera;61;45.0818097;7.6505845;Locale commerciale, negozio;Dal 1946 al 1960;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;1;False;[];;;
688313;23.0;FABBRICATO;Corso Svizzera;61;45.0818097;7.6505845;Locale commerciale, negozio;Dal 1946 al 1960;Nessuno;Patrimonio disponibile;Utilizzato direttamente;Attività commerciale e di ristorazione;;;;1;False;[];;;
688314;28.0;FABBRICATO;Corso Svizzera;61;45.0818097;7.6505845;Locale commerciale, negozio;Dal 1946 al 1960;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;1;False;[];;;
688315;37.0;FABBRICATO;Corso Svizzera;61;45.0818097;7.6505845;Locale commerciale, negozio;Dal 1946 al 1960;Nessuno;Patrimonio disponibile;Utilizzato direttamente;Attività commerciale e di ristorazione;;;;1;False;[];;;
688316;64.0;FABBRICATO;Via Parenzo;95;45.1021485;7.6440672;Abitazione;Dal 1946 al 1960;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;1;False;[];;;
688317;48.0;FABBRICATO;via parenzo;95 59;45.1021485;7.6440672;Abitazione;Dal 1946 al 1960;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;1;False;[];;;
688318;52.0;FABBRICATO;via parenzo;90 18;45.1018079;7.6443773;Abitazione;Dal 1946 al 1960;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;1;False;[];;;
688319;48.0;FABBRICATO;via parenzo;92 21;45.1018079;7.6443773;Abitazione;Dal 1946 al 1960;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;1;False;[];;;
688321;48.0;FABBRICATO;via parenzo;96 19;45.1018079;7.6443773;Abitazione;Dal 1946 al 1960;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;1;False;[];;;
688322;48.0;FABBRICATO;via parenzo;96 19;45.1018079;7.6443773;Abitazione;Dal 1946 al 1960;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;1;False;[];;;
688323;34.0;FABBRICATO;Via Balme;43;45.0810057;7.6498672;Fabbricato per attività produttiva (industriale, artigianale o agricola);Prima del 1919;Dichiarazione di interesse culturale;Demanio;Utilizzato direttamente;Attività didattica;;;;1;False;[];;;
688324;56.0;FABBRICATO;corso svizzera;53;45.0810057;7.6498672;Abitazione;Prima del 1919;Dichiarazione di interesse culturale;Demanio;Utilizzato direttamente;Alloggio di servizio, foresterie;;;;1;False;[];;;
688325;70.0;FABBRICATO;via pirano;17 62;45.1018393;7.645051;Abitazione;Dal 1946 al 1960;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;1;False;[];;;
688326;82.0;FABBRICATO;via pirano;15 63;45.1018393;7.645051;Abitazione;Dal 1946 al 1960;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;1;False;[];;;
688327;71.0;FABBRICATO;via pirano;17 62;45.1018393;7.645051;Abitazione;Dal 1946 al 1960;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;1;False;[];;;
688328;48.0;FABBRICATO;corso cincinnato l. quinzio;173;45.1008092;7.6449622;Abitazione;Dal 1946 al 1960;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;1;False;[];;;
688329;48.0;FABBRICATO;corso cincinnato l. quinzio;173;45.1008092;7.6449622;Abitazione;Dal 1946 al 1960;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;1;False;[];;;
688330;48.0;FABBRICATO;corso cincinnato l. quinzio;179;45.1010394;7.6454044;Abitazione;Dal 1946 al 1960;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;1;False;[];;;
688331;63.0;FABBRICATO;corso cincinnato l. quinzio;179;45.1010394;7.6454044;Abitazione;Dal 1946 al 1960;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;1;False;[];;;
688335;83.0;FABBRICATO;Via Jacopo Durandi;6;45.0811779;7.6598264;Abitazione;Prima del 1919;Dichiarazione di interesse culturale;Demanio;Utilizzato direttamente;Alloggio di servizio, foresterie;;;;1;False;[];;;
688336;52.0;FABBRICATO;via sansovino andrea;98 47;45.1022661;7.6431821;Abitazione;Dal 1946 al 1960;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;1;False;[];;;
688337;48.0;FABBRICATO;via sansovino andrea;98 47;45.1022661;7.6431821;Abitazione;Dal 1946 al 1960;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;1;False;[];;;
688338;50.0;FABBRICATO;via sansovino andrea;98 48;45.1022661;7.6431821;Abitazione;Dal 1946 al 1960;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;1;False;[];;;
688339;49.0;FABBRICATO;via sansovino andrea;98 48;45.1022661;7.6431821;Abitazione;Dal 1946 al 1960;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;1;False;[];;;
688340;49.0;FABBRICATO;via sansovino andrea;98 48;45.1022661;7.6431821;Abitazione;Dal 1946 al 1960;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;1;False;[];;;
688341;50.0;FABBRICATO;via sansovino andrea;98 48;45.1022661;7.6431821;Abitazione;Dal 1946 al 1960;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;1;False;[];;;
688342;47.0;FABBRICATO;via sansovino andrea;98 49;45.1022661;7.6431821;Abitazione;Dal 1946 al 1960;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;1;False;[];;;
688343;57.0;FABBRICATO;via sansovino andrea;98 48;45.1022661;7.6431821;Abitazione;Dal 1946 al 1960;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;1;False;[];;;
688344;51.0;FABBRICATO;via sansovino andrea;98 50;45.1022661;7.6431821;Abitazione;Dal 1946 al 1960;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;1;False;[];;;
688346;47.0;FABBRICATO;via sansovino andrea;98 51;45.1022661;7.6431821;Abitazione;Dal 1946 al 1960;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;1;False;[];;;
688347;64.0;FABBRICATO;via sansovino andrea;98 53;45.1022661;7.6431821;Abitazione;Dal 1946 al 1960;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;1;False;[];;;
688349;51.0;FABBRICATO;via sansovino andrea;98 57;45.1022661;7.6431821;Abitazione;Dal 1946 al 1960;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;1;False;[];;;
688350;47.0;FABBRICATO;via sansovino andrea;98 47;45.1022661;7.6431821;Abitazione;Dal 1946 al 1960;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;1;False;[];;;
688352;184.0;FABBRICATO;Via Fossano;8;45.0855663;7.6616284;Abitazione;Prima del 1919;Dichiarazione di interesse culturale;Demanio;Utilizzato direttamente;Alloggio di servizio, foresterie;;;;1;False;[];;;
