Popolazione maschile e femminile iscritta in anagrafe al 31 dicembre 2023 per zone urbanistiche e classi di età quinquennali,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Municipi,Zona urbanistiche Old,Classi quinquennali - maschi e femmine,,,,,,,,,,,,,,,,,,Totale
,,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,oltre,
,20I,336,473,541,517,511,471,474,616,689,793,877,804,587,474,405,320,269,230,9.387
,20L,152,182,204,195,203,200,218,256,278,315,362,331,255,176,181,151,113,105,3.877
,20M,688,878,946,1.023,1.131,1.236,1.209,1.396,1.530,1.663,1.992,1.878,1.753,1.346,1.043,845,746,821,22.124
,20N,379,471,600,606,635,616,668,719,795,1.023,1.047,952,810,647,520,432,327,328,11.575
,20O,0,2,4,1,1,1,4,3,1,6,4,9,2,2,0,0,3,1,44
,20X,13,14,19,23,23,29,46,43,48,59,58,54,39,52,39,25,35,43,662
,n.l.,47,51,43,68,55,54,66,68,62,78,75,69,64,43,35,15,13,4,910
,Totale municipio,5.076,6.351,7.659,8.270,8.071,8.092,8.359,9.196,10.446,12.449,14.445,14.126,12.053,9.327,7.491,6.652,5.854,6.396,160.313
Non localizzati,,92,133,107,64,55,90,139,141,122,142,137,115,91,75,54,38,46,83,1.724
Roma,Roma,90.242,113.057,129.984,134.365,130.599,137.600,152.699,166.097,185.790,216.960,240.715,240.148,206.308,167.695,141.558,129.068,108.793,118.346,2.810.024
,,,,,,,,,,,,,,,,,,,,
Dati di Fonte Anagrafica,,,,,,,,,,,,,,,,,,,,
Elaborazioni Ufficio di Statistica,,,,,,,,,,,,,,,,,,,,
(*) Con Deliberazione n.2 dell'Assemblea Capitolina del 14/01/2021 sono stati modificati parzialmente i confini dei municipi VI e VII. Pertanto l'intera Zone Urbanistica 08A è passata dal municipio VI al Municipio VII,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"(**) Con Deliberazione n.4 dell'Assemblea Capitolina del 12/01/2023 sono stati modificati parzialmente i confini dei municipi IV, V e VI. Pertanto:
- parte della Zona Urbanistica 5F del Municipio IV è confluita nel Municipio V 
- parte della Zona Urbanistica 5L del Municipio IV è confluita nel Municipio V 
- parte della Zona Urbanistica 8D del Municipio VI è confluita nel Municipio V ",,,,,,,,,,,,,,,,,,,,
