id;natura_del_bene;indirizzo;numero_civico;latitudine;longitudine;identificativo_catastale;tipologia_bene_immobile;altezza;superficie_di_riferimento_mq;epoca_costruzione;vincolo_culturale_paesaggistico;natura_giuridica_del_bene;utilizzo_del_bene;finalita;tipo_detenzione_a_terzi;canone_annuale;data_decorrenza;zona_omi
12624;FABBRICATO;Via Cernaia;30;45.0723838;7.6726557;"Accatastato - L219:::1220:212::92;L219:::1220:212::93";Abitazione;Non Disponibile;190.0;Dal 1919 al 1945;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;
12942;FABBRICATO;piazza palazzo di citta';1;45.0733744;7.680619;"Accatastato - L219:::1245:132::7;L219:::1245:121::11";Ufficio strutturato ed assimilabili;Non Disponibile;4102.0;Prima del 1919;Dichiarazione di interesse culturale;Demanio;Utilizzato direttamente;Attività amministrativa/uffici pubblici;;;;
13464;FABBRICATO;Via Bioglio;24;45.0872881;7.6974772;"Accatastato - L219:::1186:167::69;L219:::1186:167::349";Abitazione;Non Disponibile;67.0;Prima del 1919;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;
13478;FABBRICATO;via garelli federico;3;45.0713917;7.7269684;"Accatastato - L219:::1257:134::20;L219:::1257:133::";Magazzino e locali di deposito;Non Disponibile;322.0;Prima del 1919;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;
14085;FABBRICATO;via varallo;33;45.0713321;7.7128461;"Accatastato - L219:::1276:309::1;L219:::1276:309::3";Edificio scolastico (es.: scuola di ogni ordine e grado, università, scuola di formazione);4.0;1171.25;Dal 1971 al 1980;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Attività didattica;;;;
14393;FABBRICATO;Strada Alta di Mongreno;72;45.0767279;7.7382279;"Accatastato - L219:::1207:438::1;L219:::1207:438::2";Edificio scolastico (es.: scuola di ogni ordine e grado, università, scuola di formazione);4.0;402.0;Prima del 1919;Dichiarazione di interesse culturale;Demanio;Utilizzato direttamente;Attività didattica;;;;
14602;FABBRICATO;via biglieri giulio;23;45.03433684;7.67188173;"Accatastato - L219:::1402:172::;L219:::1402:173::1";Ospedali, case di cura, cliniche e assimilabili;5.0;483.8;Dal 1919 al 1945;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;
14929;FABBRICATO;corso svizzera;53;45.0810057;7.6498672;"Accatastato - L219:::1174:599::1;L219:::1174:601::;L219:::1174:600::";Edificio scolastico (es.: scuola di ogni ordine e grado, università, scuola di formazione);4.0;7395.0;Prima del 1919;Dichiarazione di interesse culturale;Demanio;Utilizzato direttamente;Attività didattica;;;;
14979;FABBRICATO;PARCO VALENTINO;SNC;45.05471882;7.6878793;"Accatastato - L219:::1336:11::;L219:::1336:3::;L219:::1336:8::;L219:::1336:9::";Impianto sportivo;Non Disponibile;1049.0;Prima del 1919;Dichiarazione di interesse culturale;Demanio;Utilizzato direttamente;Attività sportiva, ricreativa e di intrattenimento;;;;
15000;FABBRICATO;via vanchiglia;3;45.0666005;7.6963094;"Accatastato - L219:::1279:170::3;L219:::1279:170::1;L219:::1279:170::2";Abitazione;Non Disponibile;136.0;Prima del 1919;Dichiarazione di interesse culturale;Demanio;Utilizzato direttamente;Altro;;;;
