struttura,lat,lon,categoria,amenity,count_250m,count_500m,count_1km,count_2km,pois_within_2km
Appartamenti ex MOI,45.0303195,7.6554931,educazione,university,0,0,2,4,"49046716,988059309,10187943548,1172116313"
Appartamenti ex MOI,45.0303195,7.6554931,educazione,college,0,0,0,3,"3909948241,387746425,9775066120"
Appartamenti ex MOI,45.0303195,7.6554931,educazione,music_school,0,0,0,0,
Appartamenti ex MOI,45.0303195,7.6554931,educazione,driving_school,0,0,0,4,"3371413110,10699962541,11379958493,10570991907"
Appartamenti ex MOI,45.0303195,7.6554931,educazione,research_institute,0,0,0,2,"2960715234,1117153583"
Appartamenti ex MOI,45.0303195,7.6554931,educazione,vocational_school,0,0,0,0,
Appartamenti ex MOI,45.0303195,7.6554931,educazione,library,0,1,3,5,"1514848350,243093483,2562689774,10928794497,4735799707"
Appartamenti ex MOI,45.0303195,7.6554931,educazione,archive,0,0,0,0,
Appartamenti ex MOI,45.0303195,7.6554931,educazione,museum,0,0,1,3,"96185130,9775052400,12413494664"
Appartamenti ex MOI,45.0303195,7.6554931,educazione,community_centre,0,0,0,1,13192364672
Appartamenti Fondazione Saracco,45.0426035,7.6740423,sanità,healthcare,0,0,0,0,
Appartamenti Fondazione Saracco,45.0426035,7.6740423,sanità,pharmacy,2,5,11,45,"3442739971,10246779442,7310631667,7536790841,7379841664,2048316031,4735801227,6649834586,12703506925,7392300898,4735799619,4735803897,7310501808,4735016415,2135139106,4735021763,4735023412,12814474916,2592486643,7310501806,7310088536,6029326322,4735669404,4735721872,12800044441,2036336905,2036356385,4735719316,4735717950,4735056994,7379836453,2635518585,12798227483,4735804570,4735804530,11782400574,2036360279,3893151255,4735829063,2018737316,4735056034,2018187040,4735828988,3224067528,1333701639"
Appartamenti Fondazione Saracco,45.0426035,7.6740423,sanità,dentist,0,1,3,7,"10698834221,8569291136,10751445003,12886910727,10737466798,351676886,8463109068"
Appartamenti Fondazione Saracco,45.0426035,7.6740423,sanità,veterinary,0,0,0,6,"6948201811,8518082749,11283174640,6942723111,12883887836,4735830189"
Appartamenti Fondazione Saracco,45.0426035,7.6740423,sanità,optician,0,0,0,0,
Appartamenti Fondazione Saracco,45.0426035,7.6740423,sanità,medical_supply,1,2,3,5,"12867088801,12752031502,11283227093,11064390829,3957940798"
Appartamenti Fondazione Saracco,45.0426035,7.6740423,sanità,defibrillator,0,0,3,10,"13271881201,12599100593,13271881701,12829755501,11071576234,9552060491,9137861147,4374929675,13015096966,8356951251"
Appartamenti Fondazione Saracco,45.0426035,7.6740423,sanità,hospital,0,1,6,10,"305681406,3538127652,305681074,3538149953,3070468685,149116211,3538149956,26294487,1196653949,190728046"
Appartamenti Fondazione Saracco,45.0426035,7.6740423,sanità,clinic,2,4,7,21,"4086300425,4086281841,1266944688,10769159379,12816667601,12816667602,12816909558,12816909553,12814452400,12816909554,12814474932,12814452396,4735802143,10769197381,4086304459,4162728590,464291813,12168612107,3893264712,385995302,10698816652"
Appartamenti Fondazione Saracco,45.0426035,7.6740423,sanità,doctors,0,0,0,0,
Appartamenti Fondazione Saracco,45.0426035,7.6740423,mobilità,station,1,2,4,6,"4076608590,1621378603,3253332071,893193542,1621697594,1622042729"
Appartamenti Fondazione Saracco,45.0426035,7.6740423,mobilità,subway_entrance,2,5,11,19,"1213993854,1213993797,1213993844,3431330484,3431330485,3431330483,2617655139,1621378602,1621378600,1621378601,1213993997,1213994125,1213994014,3253332073,3431326297,3253332072,1622042886,3283904468,1622042919"
Appartamenti Fondazione Saracco,45.0426035,7.6740423,mobilità,tram_stop,0,0,0,48,"941491722,941491583,941491848,941491526,945383213,945383294,945383236,945383225,941491790,941491681,941491813,941491908,945383170,945383228,945383209,945383242,941491761,941491518,941491902,941491727,1168929313,1167320836,1168929291,941491699,1167320919,941491496,1230709954,1230710110,1230709892,941491640,941491856,938733459,938733498,1167320990,1167320859,950433574,951424216,1230710018,4997702728,1229827204,1231011119,1229827337,1231011175,1229580323,1229827230,1229580314,1229827620,941491672"
Appartamenti Fondazione Saracco,45.0426035,7.6740423,mobilità,bus_stop,9,18,68,250,"1262196154,1262204616,1262203170,1262209195,1262210609,1262182581,1262190229,1262187182,2291878598,2291878608,1399644573,9687643553,1213993949,1262211151,1262192830,1262211923,1262203451,1262197333,1262205805,1262197393,1262182000,13343490798,1262209430,1262189855,1262186555,1262202902,1262211523,1262185759,1262194782,1262198369,1262209999,1262195661,1262208280,1262192621,1262198126,1262210202,3226168498,1262191964,1262204703,1262200130,1262200239,1262209564,1262199832,1262187034,1262212592,1262212443,1262184011,441698016,441698012,1199003172,1199003187,1262209969,1262197382,1262194763,1262195528,1262182441,1262203530,1262209783,1262203317,1262201548,1262194534,937591597,937605183,937605179,1198909279,1198909287,937605170,937605201,937605172,10200584299,1185414537,10200408844,1262206025,1185414591,1262196617,1262196377,1262205652,1262198085,1262188120,1262192773,1262202694,1262199993,1262198818,1262207113,1262182479,1262189238,1213368963,1185809746,1185809738,1262208641,1185809741,1262208307,1185414473,1185809759,1262194959,1262188782,1185809737,1262199883,1262204464,1262187238,1262197176,1262207473,1262195467,1262192496,1262195984,1262196079,1262196389,1262189057,1262207017,1185809754,1185809736,1399644213,1131464110,1399644528,1262212319,937605193,937605195,937605181,937605194,937605189,1262198275,1198867720,1262200618,1262210403,1198867646,1198867624,1262199732,1198867456,1167320783,1262207954,1262187635,1262208539,1262200757,1262204432,1262205523,1262195376,1262203331,1262207470,937605169,937605192,1198867355,1198867590,1262199687,1262197347,1262208074,1262193274,1262196037,1262198943,1262194467,1262209394,1262210127,1262203515,1262208005,1262184768,1262199100,1262191907,1262207759,1262195389,1262197179,1262186062,1262205538,1262210265,1262200309,1262196573,1262207033,1262195041,1262207412,1262189743,1262182491,1262203811,1262210759,1262211281,1262200961,1262195128,1262196222,1262194864,1262204246,1262189288,1262185598,1262203692,1262190108,1262203588,1262190098,1262209814,1262208210,1262204320,1262192681,1262200032,1262190944,1262212994,1262195471,1262209837,1262196128,1262195993,1491228853,1262210935,1262182560,1262201063,1262187879,1262203150,1262212811,1262183335,1262204440,5594891025,1262199964,1262199168,1262182219,1399644425,1262198176,1262197433,1262192786,1262197275,1262200205,1262207921,1262210546,1262182382,1262192501,1262201910,1262192626,1229580308,4605836659,1262204898,12876021888,1229580300,1262196357,1262211500,1262208182,1262192466,1262196307,1262195324,1262209515,1262196647,1262212519,1262207853,1480474270,1262210350,1262190981,1262207187,1262197218,1262184662,1262204656,1480474276,1262211196,1262199022,1262197190,1262197041,8289837996,8289837997,1262199542,1262186722"
Appartamenti Fondazione Saracco,45.0426035,7.6740423,mobilità,charging_station,1,1,23,42,"12012137945,12751913403,9826286312,9369861982,9369861983,9826286313,9826286311,9826286304,9826286310,9826286309,9826286308,9826286307,9826286305,9826286306,10023825560,11066736413,10023825565,10023825563,10023825564,10023825562,10023825561,4691906382,10686606848,4691906381,8273687163,12206458665,9331784402,5545629913,10862580324,10023825566,11253226587,9056770766,8496473717,8496473719,8496473718,13254288285,9884949609,9884949607,9884949611,9884949608,9884949610,13254333741"
Appartamenti Fondazione Saracco,45.0426035,7.6740423,mobilità,car_sharing,0,0,0,0,
Appartamenti Fondazione Saracco,45.0426035,7.6740423,mobilità,taxi,0,0,0,5,"7211219153,1720500302,450595752,4289455496,8316678430"
