struttura,lat,lon,categoria,amenity,count_250m,count_500m,count_1km,count_2km,pois_within_2km
Casa di Riposo RSA Crocetta,45.0576071,7.6636406,verde,nature_reserve,0,0,0,0,
Casa di Riposo RSA Crocetta,45.0576071,7.6636406,verde,lake,0,0,0,0,
Casa di Riposo RSA Crocetta,45.0576071,7.6636406,verde,reservoir,0,0,0,0,
Casa di Riposo RSA Crocetta,45.0576071,7.6636406,sport,fitness_centre,0,0,6,14,"12980028801,11274687270,8518130285,5846394818,9568693090,11841788895,10736644789,12886908643,9463603381,10067097220,12327658096,2018982152,4736058200,12547891555"
Casa di Riposo RSA Crocetta,45.0576071,7.6636406,sport,sports_centre,0,0,2,12,"751826434,646909066,3799075121,188466381,289416784,404714971,3332362719,749439074,256781255,286976821,9792328371,630344434"
Casa di Riposo RSA Crocetta,45.0576071,7.6636406,sport,stadium,0,0,0,0,
Casa di Riposo RSA Crocetta,45.0576071,7.6636406,sport,swimming_pool,0,0,1,5,"191056430,1118749030,1118749029,1118749028,749439076"
Casa di Riposo RSA Crocetta,45.0576071,7.6636406,sport,water_park,0,0,0,0,
Casa di Riposo RSA Crocetta,45.0576071,7.6636406,sport,pitch,0,3,13,101,"305071206,1126470600,1114952586,122455822,166582169,166582150,166583970,229256419,229256420,229256683,229256235,83386642,839152651,839152652,846003832,848616352,848616351,425484921,1311366022,304926006,304926005,304926004,304926003,252850307,425484914,1311364291,1311364292,111815987,241336707,1385612307,689326916,1311364294,425484913,425484919,425484916,425484909,241263809,1311364295,1311364293,241263815,425484924,1132205221,7685973295,1062615795,1135281752,7685967898,823258433,166582149,166582159,166583971,860988474,151216651,10582643941,1135279253,166582161,1123200344,8415343321,1058456079,1058456078,906203826,556681458,556681459,7007648418,7007648417,436248508,448850336,1445632678,1058453911,839634186,839634187,253538106,1065476429,846003831,186413454,1303852812,731935820,731935821,41752773,731935823,220614907,220614908,289416782,289416786,289416797,289416790,10694640239,10694640238,10694640237,324738752,1014573092,1058452924,915561405,362273176,13284561433,13284561431,923782195,923780960,915561404,13284561432,5410221475,578921511"
Casa di Riposo RSA Crocetta,45.0576071,7.6636406,sport,tennis_court,0,0,0,0,
Casa di Riposo RSA Crocetta,45.0576071,7.6636406,sport,golf_course,0,0,0,0,
Casa di Riposo RSA Crocetta,45.0576071,7.6636406,sport,ice_rink,0,0,0,0,
Casa di Riposo RSA Crocetta,45.0576071,7.6636406,sport,bowling_alley,0,0,0,0,
Casa di Riposo RSA Crocetta,45.0576071,7.6636406,sport,climbing_wall,0,0,0,0,
Casa di Riposo RSA Crocetta,45.0576071,7.6636406,sport,gym,0,0,0,0,
Casa di Riposo RSA Crocetta,45.0576071,7.6636406,commerciale,shop,0,0,0,0,
Casa di Riposo RSA Crocetta,45.0576071,7.6636406,educazione,school,1,1,9,35,"858864692,367967850,367967851,243356083,1123417944,1123417943,1123417945,376495012,799304797,131584960,744546260,3799075120,3799075123,282772081,837385370,690824769,242435627,7501518183,7501518184,367981582,1065476430,315598789,443199497,4736111631,340249805,334684164,426293828,4735804563,6189845887,190499456,190499455,243074534,250151807,2284034343,2284034348"
Casa di Riposo RSA Crocetta,45.0576071,7.6636406,educazione,kindergarten,0,1,2,7,"3798287445,3799075125,3474642596,253301347,314888176,1328540432,2284034346"
Casa di Riposo RSA Crocetta,45.0576071,7.6636406,educazione,university,0,0,2,22,"12694977921,1063867657,8903777986,1107125327,1107125328,8496468303,1107125331,988062105,6944502291,6945638233,10132258250,6944516128,6944505643,6945671127,2714024340,749760378,9430411581,6339286102,4605849272,4605836657,4605847888,4605836658"
Casa di Riposo RSA Crocetta,45.0576071,7.6636406,educazione,college,0,0,0,2,"318997570,12248046055"
Casa di Riposo RSA Crocetta,45.0576071,7.6636406,educazione,music_school,0,0,0,1,28109102
Casa di Riposo RSA Crocetta,45.0576071,7.6636406,educazione,driving_school,0,1,3,8,"4734602699,10570991907,7077970133,8569299026,12886844895,10879184439,11841904325,3473130432"
Casa di Riposo RSA Crocetta,45.0576071,7.6636406,educazione,research_institute,0,0,0,2,"190482116,6241694510"
Casa di Riposo RSA Crocetta,45.0576071,7.6636406,educazione,vocational_school,0,0,0,0,
Casa di Riposo RSA Crocetta,45.0576071,7.6636406,educazione,library,0,0,0,4,"4735799707,11926381625,10229510808,4209315503"
Casa di Riposo RSA Crocetta,45.0576071,7.6636406,educazione,archive,0,0,0,0,
Casa di Riposo RSA Crocetta,45.0576071,7.6636406,educazione,museum,0,0,2,12,"182886373,12072302022,123180294,397514864,435784636,4572133130,5482049568,4219719436,2981060587,6425777001,12393405666,9585924917"
Casa di Riposo RSA Crocetta,45.0576071,7.6636406,educazione,community_centre,1,1,2,4,"12616853914,12585045537,194336591,12548906803"
Casa di Riposo RSA Massimo D’Azeglio,45.0449267,7.6789245,sanità,healthcare,0,0,0,0,
Casa di Riposo RSA Massimo D’Azeglio,45.0449267,7.6789245,sanità,pharmacy,2,3,11,50,"7310631667,7536790841,7379841664,4735801227,6649834586,12703506925,7392300898,4735799619,4735803897,4735016415,2135139106,4735021763,4735023412,12814474916,2592486643,7310501806,7310088536,6029326322,4735669404,4735721872,12800044441,2036336905,2036356385,4735719316,4412226590,9140119438,4735717950,4735056994,7379836453,2635518585,12798227483,4735804570,4735804530,11782400574,2036360279,3893151255,4735829063,2018737316,4735056034,4735058545,4735717430,2018187040,619193786,4735828988,3224067528,5255625937,1333701639,2018982162,4736055182,7376141997"
Casa di Riposo RSA Massimo D’Azeglio,45.0449267,7.6789245,sanità,dentist,0,0,3,8,"10698834221,8569291136,10751445003,12886910727,10737466798,351676886,8463109068,11296229554"
Casa di Riposo RSA Massimo D’Azeglio,45.0449267,7.6789245,sanità,veterinary,0,0,1,6,"8518082749,11283174640,6942723111,12883887836,4735830189,4736055191"
Casa di Riposo RSA Massimo D’Azeglio,45.0449267,7.6789245,sanità,optician,0,0,0,0,
Casa di Riposo RSA Massimo D’Azeglio,45.0449267,7.6789245,sanità,medical_supply,0,0,2,5,"12867088801,12752031502,11283227093,11064390829,3957940798"
Casa di Riposo RSA Massimo D’Azeglio,45.0449267,7.6789245,sanità,defibrillator,1,1,4,9,"12599100593,12829755501,11071576234,9552060491,9137861147,4374929675,13015096966,8356951251,8210481138"
Casa di Riposo RSA Massimo D’Azeglio,45.0449267,7.6789245,sanità,hospital,0,0,1,10,"305681406,3538127652,305681074,3538149953,3070468685,149116211,3538149956,26294487,1196653949,190728046"
Casa di Riposo RSA Massimo D’Azeglio,45.0449267,7.6789245,sanità,clinic,2,4,7,20,"4086300425,1266944688,10769159379,12816667601,12816667602,12816909558,12816909553,12814452400,12816909554,12814474932,12814452396,4735802143,10769197381,4086304459,4162728590,464291813,12168612107,3893264712,385995302,10698816652"
Casa di Riposo RSA Massimo D’Azeglio,45.0449267,7.6789245,sanità,doctors,0,0,0,0,
Casa di Riposo RSA Massimo D’Azeglio,45.0449267,7.6789245,mobilità,station,0,0,3,8,"4076608590,1621378603,3253332071,893193542,1621697594,1622042729,3395226356,254594415"
