id;gruppo_catastale;quotazione_immobiliare_mq
388202;C;908.0
388203;C;908.0
388204;C;908.0
388205;C;908.0
388206;C;908.0
388207;C;908.0
388209;C;908.0
388210;C;908.0
388211;C;908.0
388212;C;908.0
388213;C;908.0
388214;C;908.0
388215;C;908.0
388216;C;908.0
388217;B;1553.0
388218;D;1553.0
388223;C;908.0
388224;C;908.0
388241;B;1300.0
388242;A;1283.0
388244;C;875.0
388250;B;1303.0
388254;B;1303.0
388273;B;1866.0
388279;A;2106.0
388299;B;1485.0
388300;A;1333.0
388301;A;1333.0
388306;A;1333.0
388307;B;1801.0
388309;A;1870.0
388314;B;1776.0
388315;A;1948.0
388316;A;1948.0
388317;A;1948.0
388319;C;2435.0
388320;A;2725.0
388321;A;2725.0
388322;;2606.0
388323;A;2725.0
388324;A;2725.0
388325;A;2725.0
388326;A;2725.0
388327;A;2725.0
388328;A;2725.0
388329;A;2725.0
388330;A;2725.0
388331;;2606.0
388332;C;2435.0
388333;;2606.0
388344;C;1781.0
388345;A;2400.0
388346;B;2409.0
392799;B;1950.0
440181;;2256.0
440182;;2256.0
440183;;2256.0
440184;;2256.0
440185;;2256.0
440186;;2256.0
440187;;2256.0
440189;;2256.0
440190;B;2256.0
440191;;2256.0
440192;;2256.0
440193;;2256.0
440194;;2256.0
572845;A;1000.0
572846;A;1000.0
572847;A;1000.0
572848;A;1000.0
572849;A;1000.0
572850;A;1000.0
572851;A;1000.0
572852;A;1000.0
572853;A;1000.0
572854;A;1000.0
572856;A;1000.0
573650;B;1300.0
573651;A;1283.0
573936;A;1333.0
574562;;1236.0
574563;;1236.0
574564;;1236.0
574565;;1236.0
574566;;1236.0
574567;;1236.0
574568;;1236.0
574569;;1236.0
574570;;1236.0
574571;;1236.0
574572;;1236.0
574573;;1236.0
574574;;1236.0
574575;;1236.0
574576;;1236.0
574577;;1236.0
574578;;1236.0
574579;;1236.0
574580;;1236.0
574581;;1236.0
574582;;1236.0
574583;;1236.0
574584;;1236.0
574585;;1236.0
574586;;1236.0
574587;;1236.0
574588;;1236.0
574589;;1236.0
574590;;1236.0
574591;;1236.0
574592;;1236.0
574593;;1236.0
574594;;1236.0
574595;;1236.0
574596;;1236.0
574597;;1236.0
574598;;1236.0
574599;;1236.0
574600;;1236.0
574601;;1236.0
574602;;1236.0
574603;;1236.0
574604;;1236.0
574605;;1236.0
574606;;1236.0
574607;;1236.0
574608;;1236.0
574609;;1236.0
574610;;1236.0
574611;;1236.0
574612;;1236.0
574613;;1236.0
574614;;1236.0
574615;;1236.0
574616;;1236.0
574617;;1236.0
574618;;1236.0
574619;;1236.0
574620;;1236.0
574621;;1236.0
574622;;1236.0
574623;;1236.0
574624;;1236.0
574625;;1236.0
574626;;1236.0
574627;;1236.0
574628;;1236.0
574629;;1236.0
574630;;1236.0
574631;;1236.0
574632;;1236.0
574633;;1236.0
574634;;1236.0
574635;;1236.0
574636;;1236.0
574637;;1236.0
574638;;1236.0
574639;;1236.0
574640;;1236.0
574641;;1236.0
574642;;1236.0
574643;A;1078.0
574644;A;1078.0
574645;A;1078.0
574646;A;1078.0
574647;A;1078.0
574648;A;1078.0
574649;A;1078.0
574650;A;1078.0
574651;A;1078.0
574652;A;1078.0
574653;A;1078.0
574654;A;1078.0
574655;A;1078.0
574656;A;1078.0
574657;A;1078.0
574658;A;1078.0
574659;A;1078.0
574660;A;1078.0
574661;A;1078.0
574662;A;1078.0
574663;A;1078.0
574664;A;1078.0
574665;A;1078.0
574666;A;1078.0
574667;A;1078.0
574668;A;1078.0
574669;A;1078.0
574670;A;1078.0
574671;A;1078.0
574672;A;1078.0
574673;A;1078.0
574674;A;1078.0
574675;A;1078.0
574676;A;1078.0
574677;A;1078.0
574678;A;1078.0
574679;A;1078.0
574680;A;1078.0
574681;A;1078.0
574682;A;1078.0
574683;A;1078.0
574684;A;1078.0
574685;A;1078.0
574686;A;1078.0
574687;A;1078.0
574688;A;1078.0
574689;A;1078.0
574690;A;1078.0
574691;A;1078.0
574692;A;1078.0
574693;A;1078.0
574694;A;1078.0
574695;A;1078.0
574696;A;1078.0
574697;A;1078.0
574698;A;1078.0
574699;A;1078.0
574700;A;1078.0
574701;A;1078.0
574702;A;1078.0
574703;A;1078.0
574704;A;1078.0
574705;A;1078.0
574706;A;1078.0
574707;A;1078.0
574708;A;1078.0
574709;A;1078.0
574710;A;1078.0
574711;A;1078.0
574712;A;1078.0
574713;A;1078.0
574714;A;1078.0
574715;A;1078.0
574716;A;1078.0
574717;A;1078.0
574718;A;1078.0
574719;A;1078.0
574720;A;1078.0
574721;A;1078.0
574722;A;1078.0
574723;A;1078.0
574724;;1236.0
574725;;1236.0
574726;;1236.0
574727;;1236.0
574728;;1236.0
574729;;1236.0
574730;;1236.0
574731;;1236.0
574732;;1236.0
574733;;1236.0
574734;;1236.0
574735;;1236.0
574736;;1236.0
574737;;1236.0
574738;;1236.0
574739;;1236.0
574740;;1236.0
574741;;1236.0
574742;;1236.0
574743;;1236.0
574744;;1236.0
574745;;1236.0
574746;;1236.0
574747;;1236.0
574748;;1236.0
574749;;1236.0
574750;;1236.0
574751;;1236.0
574752;;1236.0
574753;;1236.0
574754;;1236.0
574755;;1236.0
574756;;1236.0
574757;;1236.0
574758;;1236.0
574759;;1236.0
574760;;1236.0
574761;;1236.0
574762;;1236.0
574763;;1236.0
574764;;1236.0
574765;;1236.0
574766;;1236.0
574767;;1236.0
574768;;1236.0
574769;;1236.0
574770;;1236.0
574771;;1236.0
574772;;1236.0
574773;;1236.0
574774;A;1078.0
574775;A;1078.0
574776;A;1078.0
574777;A;1078.0
574778;A;1078.0
574779;A;1078.0
574780;A;1078.0
574781;A;1078.0
574782;A;1078.0
574783;A;1078.0
574784;A;1078.0
574785;A;1078.0
574786;A;1078.0
574787;A;1078.0
574788;A;1078.0
574789;A;1078.0
574790;A;1078.0
574791;A;1078.0
574792;A;1078.0
574793;A;1078.0
574794;A;1078.0
574795;A;1078.0
574796;A;1078.0
574797;A;1078.0
574798;A;1078.0
574799;A;1078.0
574800;A;1078.0
574801;A;1078.0
574802;A;1078.0
574803;A;1078.0
574804;A;1078.0
574805;A;1078.0
574806;A;1078.0
574807;A;1078.0
574808;A;1078.0
574809;A;1078.0
574810;A;1078.0
574811;A;1078.0
574812;A;1078.0
574813;A;1078.0
574814;A;1078.0
574815;A;1078.0
574816;A;1078.0
574817;A;1078.0
574818;A;1078.0
574819;A;1078.0
574820;A;1078.0
574821;A;1078.0
574822;A;1078.0
574823;A;1078.0
574824;A;1078.0
